"wl","1068_03_03_blankie/SPECTRUM0072","1068_03_03_blankie/SPECTRUM0073","1068_03_03_blankie/SPECTRUM0074","1068_03_03_blankie/SPECTRUM0075","1106_05_02_blankie/SPECTRUM0012","1106_05_02_blankie/SPECTRUM0013","1106_05_02_blankie/SPECTRUM0014","1106_05_02_blankie/SPECTRUM0015","1116_05_02_blankie/SPECTRUM0053","1116_05_02_blankie/SPECTRUM0054","1116_05_02_blankie/SPECTRUM0055","1116_05_02_blankie/SPECTRUM0056","1116_05_13_blankie/SPECTRUM0036","1116_05_13_blankie/SPECTRUM0037","1116_05_13_blankie/SPECTRUM0038","1116_05_13_blankie/SPECTRUM0039","1118_05_05_blankie/SPECTRUM0012","1118_05_05_blankie/SPECTRUM0013","1118_05_05_blankie/SPECTRUM0014","1118_05_05_blankie/SPECTRUM0015","1120_05_01_blankie/SPECTRUM0055","1120_05_01_blankie/SPECTRUM0056","1120_05_01_blankie/SPECTRUM0057","1120_05_01_blankie/SPECTRUM0058"
310,18.7509362793517,17.6470039395278,17.3340366166979,18.7881292613629,18.4492289914773,14.4137576488098,20.9174016478692,16.8231128447317,23.2567290340122,24.7877623579238,25.2900394952629,24.032182226936,22.5443782142007,19.2117281587191,17.7014737460294,17.6063646019594,27.7296121308766,25.2900203464355,24.3702193332665,23.135684415677,25.0617887162812,30.5669567069751,29.7853986372809,24.7281045447076
311,18.976803943624,17.5318329637176,17.5827852454294,18.9333875922489,18.5178838326672,14.4727462662715,20.8994131475375,16.9151388414476,23.3551364176379,24.7353253238948,25.2830685966581,24.0368883514564,22.5923548774642,19.3614515905243,17.7060654593762,17.7749816760889,27.947605987575,25.4737209199022,24.5249737637523,23.3796606920824,25.2011338424292,30.6443867421076,29.9815980499547,24.7585210041652
312,18.9262170813587,17.5595352536173,17.6237172979228,18.8818784008429,18.5854010624307,14.5836100778546,20.7925623652,16.7458323357381,23.4911737423036,24.7383367834929,25.4686953096745,24.2805289050264,22.7089186143152,19.3833067531766,17.8610877901891,18.0378451362849,28.1194040359684,25.4968348880213,24.8298215446079,23.4577263840467,25.1287073330477,30.6311341254282,30.0262555233773,25.0626126435493
313,18.9189585838921,17.5675174676524,17.5723918876827,18.8256207494304,18.4674826294798,14.5292956776309,20.7066288702191,16.8444412065281,23.363654002775,24.5977479434507,25.5544421174929,24.3801468236386,22.5251871841249,19.4425250817926,17.8296570012776,17.9952373283584,28.1619777236255,25.5298673522102,25.0731071218466,23.6678259924319,24.9734087841542,30.8144598128804,30.1122820714658,25.0250593693727
314,18.9831114432645,17.6779299951216,17.6847255949761,18.6440611224329,18.5699233717946,14.4726166708794,20.8060720777972,16.6595776266805,23.3775539190175,24.5545951960273,25.5547025954184,24.3995542351931,22.6306295175995,19.579580957817,17.7848376335206,17.914850092229,28.2253523638367,25.7813668645516,25.0335802508866,23.6426364474375,24.8473144778883,30.8196785520145,29.9875675325116,25.1159870167109
315,19.2607571743046,17.9102950354004,17.8760159175401,18.7940104384129,18.7394679212962,14.5494842328059,20.7864481711293,16.6123027988656,23.5895902113062,24.6446570541754,25.6975345834016,24.5662107995658,22.8883763250848,19.861740479594,17.9916999884767,18.0429897476647,28.7304028791163,26.0753243023258,25.2294608283931,23.9057661395935,25.1070285744023,31.1635051846012,30.0333131950281,25.2756525602681
316,19.6339966446965,18.0126208525265,18.0606313589465,18.8374960602859,18.4913988483677,14.4297032630342,20.7079886257974,16.5172266361781,23.5989481171623,24.7496886366124,25.8462361439717,24.6687763516551,23.1801165750235,20.2838126021478,18.199846127456,18.0685794386418,28.7888735700069,26.0491995903447,25.421370765404,23.9630086954216,25.3877153004685,31.5845219141914,29.9227965311066,25.5432542538371
317,19.9400725447931,17.9306288724356,18.3769593500581,19.0067858152565,18.4166498392902,14.3983895625387,20.8363800473941,16.4775047664288,23.7577628338492,24.8198947080007,25.93345227042,24.6870127063174,23.2031115931754,20.5749529589157,18.2342690190271,18.1857249960252,28.9578245748325,26.2880236333257,25.6103314719317,24.1512886939693,25.4452468960675,31.7330800349483,30.1603769103813,25.658803639755
318,19.9534134480262,17.8916538436454,18.6208954552126,19.2351604935917,18.4611109974606,14.3385316384959,20.7737364967504,16.4586867727454,23.8610562241122,24.6858760730347,25.8816720372982,24.8242736970518,23.2873804341585,20.579679946656,18.272212177645,18.1018490792406,28.9187343829167,26.5007060177841,25.6861377067424,24.3982623724901,25.5428794707777,31.7830287239343,30.3746481065658,25.9239406443895
319,19.8412823540052,18.0445047721503,18.4481838070969,19.183171519679,18.4669671161129,14.2712603454594,20.6930813515659,16.3875932061782,23.9306107728348,25.0157659883656,26.1242895837673,24.7514879639043,23.3064695071265,20.6361140976332,18.3075678360918,17.9226482898816,29.0016838442438,26.4303619225063,25.7026178046412,24.367573217924,25.4854101612597,31.5884184341502,30.1583920609291,26.0817770437885
